"","t","bulk_precip","n"
"1",2020-05-01 00:00:00,0,1
"2",2020-05-02 00:00:00,0,23
"3",2020-05-02 12:00:00,0,12
"4",2020-05-03 00:00:00,0,23
"5",2020-05-03 12:00:00,0,8
"6",2020-05-04 00:00:00,0,23
"7",2020-05-04 12:00:00,0,24
"8",2020-05-05 00:00:00,0,3
"9",2020-05-06 00:00:00,0,23
"10",2020-05-06 12:00:00,0,24
"11",2020-05-07 00:00:00,0,24
"12",2020-05-07 12:00:00,0,24
"13",2020-05-08 00:00:00,0,2
"14",2020-05-09 00:00:00,0,23
"15",2020-05-09 12:00:00,0,24
"16",2020-05-10 00:00:00,0,24
"17",2020-05-10 12:00:00,0,24
"18",2020-05-11 00:00:00,0,24
"19",2020-05-11 12:00:00,0,24
"20",2020-05-12 00:00:00,0,2
"21",2020-05-13 00:00:00,0,9
"22",2020-05-14 00:00:00,0,23
"23",2020-05-14 12:00:00,0,24
"24",2020-05-15 00:00:00,0,24
"25",2020-05-15 12:00:00,0,9
"26",2020-05-16 00:00:00,0,23
"27",2020-05-16 12:00:00,0,12
"28",2020-05-17 00:00:00,0,23
"29",2020-05-17 12:00:00,0,24
"30",2020-05-18 00:00:00,0,24
"31",2020-05-18 12:00:00,0,24
"32",2020-05-19 00:00:00,0,24
"33",2020-05-19 12:00:00,0,3
"34",2020-05-20 00:00:00,0,23
"35",2020-05-20 12:00:00,0,3
"36",2020-05-21 00:00:00,0,23
"37",2020-05-21 12:00:00,0,24
"38",2020-05-22 00:00:00,0,2
"39",2020-05-23 00:00:00,1.29,23
"40",2020-05-23 12:00:00,0,4
"41",2020-05-24 00:00:00,0,23
"42",2020-05-24 12:00:00,0,6
"43",2020-05-25 00:00:00,0,23
"44",2020-05-25 12:00:00,0,24
"45",2020-05-26 00:00:00,0,2
"46",2020-05-28 00:00:00,0,1
"47",2020-05-29 00:00:00,0,23
"48",2020-05-29 12:00:00,0,8
"49",2020-05-30 00:00:00,0,23
"50",2020-05-30 12:00:00,0,5
"51",2020-06-01 00:00:00,0,23
"52",2020-06-01 12:00:00,0,24
"53",2020-06-02 00:00:00,0,2
"54",2020-06-03 00:00:00,0,23
"55",2020-06-03 12:00:00,0,12
"56",2020-06-04 00:00:00,0,3
"57",2020-06-05 00:00:00,0,2
"58",2020-06-07 00:00:00,0,17
"59",2020-06-07 12:00:00,0,4
"60",2020-06-08 00:00:00,0,2
"61",2020-06-09 00:00:00,0,1
"62",2020-06-10 00:00:00,0,23
"63",2020-06-10 12:00:00,0,13
"64",2020-06-12 00:00:00,0,23
"65",2020-06-12 12:00:00,0,14
"66",2020-06-13 00:00:00,0,23
"67",2020-06-13 12:00:00,0,24
"68",2020-06-14 00:00:00,0,24
"69",2020-06-14 12:00:00,0,24
"70",2020-06-15 00:00:00,0,24
"71",2020-06-15 12:00:00,0,13
"72",2020-06-16 00:00:00,0,23
"73",2020-06-16 12:00:00,0,13
"74",2020-06-17 00:00:00,0,23
"75",2020-06-17 12:00:00,0,6
"76",2020-06-18 00:00:00,0,23
"77",2020-06-18 12:00:00,0,12
"78",2020-06-19 00:00:00,0,23
"79",2020-06-19 12:00:00,0,13
"80",2020-06-20 00:00:00,0,23
"81",2020-06-20 12:00:00,0,24
"82",2020-06-21 00:00:00,0,24
"83",2020-06-21 12:00:00,0,9
"84",2020-06-22 00:00:00,0,23
"85",2020-06-22 12:00:00,0,24
"86",2020-06-23 00:00:00,0,24
"87",2020-06-23 12:00:00,0,24
"88",2020-06-24 00:00:00,0,24
"89",2020-06-24 12:00:00,0,24
"90",2020-06-25 00:00:00,0,23
"91",2020-06-25 12:00:00,0,6
"92",2020-06-26 00:00:00,0,23
"93",2020-06-26 12:00:00,0,7
"94",2020-06-27 00:00:00,0,23
"95",2020-06-27 12:00:00,0,24
"96",2020-06-28 00:00:00,0,8
"97",2020-06-29 00:00:00,0.66,23
"98",2020-06-29 12:00:00,0,13
"99",2020-07-01 00:00:00,0,1
"100",2020-07-02 00:00:00,0,1
"101",2020-07-03 00:00:00,0,23
"102",2020-07-03 12:00:00,0,24
"103",2020-07-04 00:00:00,0,2
"104",2020-07-05 00:00:00,0,23
"105",2020-07-05 12:00:00,0,24
"106",2020-07-06 00:00:00,0,24
"107",2020-07-06 12:00:00,0,24
"108",2020-07-07 00:00:00,0,24
"109",2020-07-07 12:00:00,0,24
"110",2020-07-08 00:00:00,0,2
"111",2020-07-09 00:00:00,0,23
"112",2020-07-09 12:00:00,0,24
"113",2020-07-10 00:00:00,0,24
"114",2020-07-10 12:00:00,0,24
"115",2020-07-11 00:00:00,0,24
"116",2020-07-11 12:00:00,0,24
"117",2020-07-12 00:00:00,0,24
"118",2020-07-12 12:00:00,0,13
"119",2020-07-13 00:00:00,0,23
"120",2020-07-13 12:00:00,0,12
"121",2020-07-14 00:00:00,0,23
"122",2020-07-14 12:00:00,0,24
"123",2020-07-15 00:00:00,0,24
"124",2020-07-15 12:00:00,0,24
"125",2020-07-16 00:00:00,0,24
"126",2020-07-16 12:00:00,0,24
"127",2020-07-17 00:00:00,0,24
"128",2020-07-17 12:00:00,0,24
"129",2020-07-18 00:00:00,0,24
"130",2020-07-18 12:00:00,0,24
"131",2020-07-19 00:00:00,0,24
"132",2020-07-19 12:00:00,0,20
"133",2020-07-20 00:00:00,0,23
"134",2020-07-20 12:00:00,0,14
"135",2020-07-21 00:00:00,0,23
"136",2020-07-21 12:00:00,0,15
"137",2020-07-22 00:00:00,0,23
"138",2020-07-22 12:00:00,0,24
"139",2020-07-23 00:00:00,0,24
"140",2020-07-23 12:00:00,0,8
"141",2020-07-24 00:00:00,0,23
"142",2020-07-24 12:00:00,0,24
"143",2020-07-26 00:00:00,0,23
"144",2020-07-26 12:00:00,0,24
"145",2020-07-27 00:00:00,0,24
"146",2020-07-27 12:00:00,0,23
"147",2020-07-28 00:00:00,0,23
"148",2020-07-28 12:00:00,0,24
"149",2020-07-29 00:00:00,0,24
"150",2020-07-29 12:00:00,0,24
"151",2020-07-30 00:00:00,0,24
"152",2020-07-30 12:00:00,0,24
"153",2020-07-31 00:00:00,0,24
"154",2020-07-31 12:00:00,0,24
"155",2020-08-01 00:00:00,0,1
